,0
0,1970-01-31 00:00:00.000001900
1,1970-02-28 00:00:00.000001900
2,1970-03-31 00:00:00.000001900
3,1970-04-30 00:00:00.000001900
4,1970-05-31 00:00:00.000001900
5,1970-06-30 00:00:00.000001900
6,1970-07-31 00:00:00.000001900
7,1970-08-31 00:00:00.000001900
8,1970-09-30 00:00:00.000001900
9,1970-10-31 00:00:00.000001900
10,1970-11-30 00:00:00.000001900
11,1970-12-31 00:00:00.000001900
12,1971-01-31 00:00:00.000001900
13,1971-02-28 00:00:00.000001900
14,1971-03-31 00:00:00.000001900
15,1971-04-30 00:00:00.000001900
16,1971-05-31 00:00:00.000001900
17,1971-06-30 00:00:00.000001900
18,1971-07-31 00:00:00.000001900
19,1971-08-31 00:00:00.000001900
20,1971-09-30 00:00:00.000001900
21,1971-10-31 00:00:00.000001900
22,1971-11-30 00:00:00.000001900
23,1971-12-31 00:00:00.000001900
24,1972-01-31 00:00:00.000001900
25,1972-02-29 00:00:00.000001900
26,1972-03-31 00:00:00.000001900
27,1972-04-30 00:00:00.000001900
28,1972-05-31 00:00:00.000001900
29,1972-06-30 00:00:00.000001900
30,1972-07-31 00:00:00.000001900
31,1972-08-31 00:00:00.000001900
32,1972-09-30 00:00:00.000001900
33,1972-10-31 00:00:00.000001900
34,1972-11-30 00:00:00.000001900
35,1972-12-31 00:00:00.000001900
36,1973-01-31 00:00:00.000001900
37,1973-02-28 00:00:00.000001900
38,1973-03-31 00:00:00.000001900
39,1973-04-30 00:00:00.000001900
40,1973-05-31 00:00:00.000001900
41,1973-06-30 00:00:00.000001900
42,1973-07-31 00:00:00.000001900
43,1973-08-31 00:00:00.000001900
44,1973-09-30 00:00:00.000001900
45,1973-10-31 00:00:00.000001900
46,1973-11-30 00:00:00.000001900
47,1973-12-31 00:00:00.000001900
48,1974-01-31 00:00:00.000001900
49,1974-02-28 00:00:00.000001900
50,1974-03-31 00:00:00.000001900
51,1974-04-30 00:00:00.000001900
52,1974-05-31 00:00:00.000001900
53,1974-06-30 00:00:00.000001900
54,1974-07-31 00:00:00.000001900
55,1974-08-31 00:00:00.000001900
56,1974-09-30 00:00:00.000001900
57,1974-10-31 00:00:00.000001900
58,1974-11-30 00:00:00.000001900
59,1974-12-31 00:00:00.000001900
60,1975-01-31 00:00:00.000001900
61,1975-02-28 00:00:00.000001900
62,1975-03-31 00:00:00.000001900
63,1975-04-30 00:00:00.000001900
64,1975-05-31 00:00:00.000001900
65,1975-06-30 00:00:00.000001900
66,1975-07-31 00:00:00.000001900
67,1975-08-31 00:00:00.000001900
68,1975-09-30 00:00:00.000001900
69,1975-10-31 00:00:00.000001900
70,1975-11-30 00:00:00.000001900
71,1975-12-31 00:00:00.000001900
72,1976-01-31 00:00:00.000001900
73,1976-02-29 00:00:00.000001900
74,1976-03-31 00:00:00.000001900
75,1976-04-30 00:00:00.000001900
76,1976-05-31 00:00:00.000001900
77,1976-06-30 00:00:00.000001900
78,1976-07-31 00:00:00.000001900
79,1976-08-31 00:00:00.000001900
80,1976-09-30 00:00:00.000001900
81,1976-10-31 00:00:00.000001900
82,1976-11-30 00:00:00.000001900
83,1976-12-31 00:00:00.000001900
84,1977-01-31 00:00:00.000001900
85,1977-02-28 00:00:00.000001900
86,1977-03-31 00:00:00.000001900
87,1977-04-30 00:00:00.000001900
88,1977-05-31 00:00:00.000001900
89,1977-06-30 00:00:00.000001900
90,1977-07-31 00:00:00.000001900
91,1977-08-31 00:00:00.000001900
92,1977-09-30 00:00:00.000001900
93,1977-10-31 00:00:00.000001900
94,1977-11-30 00:00:00.000001900
95,1977-12-31 00:00:00.000001900
96,1978-01-31 00:00:00.000001900
97,1978-02-28 00:00:00.000001900
98,1978-03-31 00:00:00.000001900
99,1978-04-30 00:00:00.000001900
100,1978-05-31 00:00:00.000001900
101,1978-06-30 00:00:00.000001900
102,1978-07-31 00:00:00.000001900
103,1978-08-31 00:00:00.000001900
104,1978-09-30 00:00:00.000001900
105,1978-10-31 00:00:00.000001900
106,1978-11-30 00:00:00.000001900
107,1978-12-31 00:00:00.000001900
108,1979-01-31 00:00:00.000001900
109,1979-02-28 00:00:00.000001900
110,1979-03-31 00:00:00.000001900
111,1979-04-30 00:00:00.000001900
112,1979-05-31 00:00:00.000001900
113,1979-06-30 00:00:00.000001900
114,1979-07-31 00:00:00.000001900
115,1979-08-31 00:00:00.000001900
116,1979-09-30 00:00:00.000001900
117,1979-10-31 00:00:00.000001900
118,1979-11-30 00:00:00.000001900
119,1979-12-31 00:00:00.000001900
120,1980-01-31 00:00:00.000001900
121,1980-02-29 00:00:00.000001900
122,1980-03-31 00:00:00.000001900
