date,value
1965-12-31,101.0404
1966-12-31,99.20785
1967-12-31,100.7047
1968-12-31,101.9877
1969-12-31,100.4395
1970-12-31,99.28596
1971-12-31,100.9795
1972-12-31,104.5143
1973-12-31,101.7605
1974-12-31,96.24492
1975-12-31,100.6593
1976-12-31,101.1711
1977-12-31,101.1293
1978-12-31,102.563
1979-12-31,100.7738
1980-12-31,100.167
1981-12-31,99.13705
1982-12-31,98.27892
1983-12-31,101.2535
1984-12-31,100.2724
1985-12-31,99.85706
1986-12-31,99.96777
1987-12-31,100.9357
1988-12-31,101.0238
1989-12-31,100.4705
1990-12-31,98.73935
1991-12-31,99.23318
1992-12-31,98.96948
1993-12-31,99.76413
1994-12-31,100.8291
1995-12-31,99.9454
1996-12-31,100.7043
1997-12-31,99.9988
1998-12-31,98.90424
1999-12-31,101.433
2000-12-31,99.83041
2001-12-31,98.64306
2002-12-31,98.79036
2003-12-31,100.4376
2004-12-31,100.4439
2005-12-31,100.5895
2006-12-31,101.6612
2007-12-31,101.8051
2008-12-31,95.56057
2009-12-31,100.3824
2010-12-31,100.9718
2011-12-31,99.75735
2012-12-31,99.82371
2013-12-31,100.399
2014-12-31,100.2147
2015-12-31,99.46811
2016-12-31,100.0578
2017-12-31,100.7467
2018-12-31,99.53818
2019-12-31,99.07269
2020-12-31,100.5745
2021-12-31,100.5526
2022-12-31,98.89095
2023-12-31,100.3684
