date,price
1/2/2003,30.05
1/3/2003,30.83
1/6/2003,30.71
1/7/2003,29.72
1/8/2003,28.86
1/9/2003,29.51
1/10/2003,29.82
1/13/2003,29.82
1/14/2003,30.21
1/15/2003,30.66
1/16/2003,30.87
1/17/2003,31.02
1/20/2003,31.21
1/21/2003,30.9
1/22/2003,30.89
1/23/2003,30.18
1/24/2003,30.56
1/27/2003,30.16
1/28/2003,29.83
1/29/2003,30.3
1/30/2003,30.58
1/31/2003,30.71
2/3/2003,30.29
2/4/2003,29.98
2/5/2003,30.52
2/6/2003,30.77
2/7/2003,31.25
2/10/2003,31.38
2/11/2003,31.35
2/12/2003,31.3
2/13/2003,31.91
2/14/2003,32.33
2/17/2003,31.9
2/18/2003,31.85
2/19/2003,31.95
2/20/2003,31.48
2/21/2003,31.84
2/24/2003,32.44
2/25/2003,32.73
2/26/2003,32.49
2/27/2003,32.48
2/28/2003,32.63
3/3/2003,31.63
3/4/2003,32.12
3/5/2003,32.29
3/6/2003,32.5
3/7/2003,32.79
3/10/2003,33.11
3/11/2003,32.54
3/12/2003,32.74
3/13/2003,32.42
3/14/2003,30.98
3/17/2003,29.8
3/18/2003,27.69
3/19/2003,27.12
3/20/2003,26.51
3/21/2003,24.81
3/24/2003,25.7
3/25/2003,26.84
3/26/2003,25.54
3/27/2003,26.66
3/28/2003,27.23
3/31/2003,27.22
4/1/2003,26.8
4/2/2003,25.76
4/3/2003,26
4/4/2003,25.38
4/7/2003,24.91
4/8/2003,25.33
4/9/2003,25.59
4/10/2003,25.4
4/11/2003,24.96
4/14/2003,25.35
4/15/2003,25.56
4/16/2003,25.71
4/17/2003,26.25
4/21/2003,26.64
4/22/2003,26.24
4/23/2003,25.14
4/24/2003,23.97
4/25/2003,24.4
4/28/2003,23.64
4/29/2003,23.27
4/30/2003,23.72
5/1/2003,23.85
5/2/2003,23.84
5/5/2003,23.99
5/6/2003,23.92
5/7/2003,23.89
5/8/2003,24.44
5/9/2003,25.14
5/12/2003,25.32
5/13/2003,25.41
5/14/2003,26.13
5/15/2003,26.21
5/16/2003,26.24
5/19/2003,26.53
5/20/2003,26.1
5/21/2003,26.64
5/22/2003,26.53
5/23/2003,26.85
5/26/2003,26.87
5/27/2003,26.48
5/28/2003,26.49
5/29/2003,26.27
5/30/2003,26.71
6/2/2003,27.1
6/3/2003,27.09
6/4/2003,26.72
6/5/2003,26.77
6/6/2003,27.3
6/9/2003,27.53
6/10/2003,27.51
