Date,Albania,Algeria,Angola,Argentina,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Barbados,Belarus,Belize,Benin,Bolivia,Brazil,Brunei,Bulgaria,Cameroon,Canada,Chad,Chile,China,Colombia,Congo,Cote d'Ivoire,Croatia,Cuba,Czechia,Czechoslovakia,Democratic Republic of Congo,Denmark,East Timor,Ecuador,Egypt,France,Gabon,Georgia,Germany,Ghana,Greece,Guatemala,Hungary,India,Indonesia,Iran,Iraq,Israel,Italy,Japan,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Libya,Lithuania,Low-income countries,Malaysia,Mauritania,Mexico,Mongolia,Morocco,Myanmar,Netherlands,New Zealand,Niger,Nigeria,Norway,Oman,Pakistan,Papua New Guinea,Persian Gulf (Shift),Peru,Philippines,Poland,Qatar,Romania,Russia,Saudi Arabia,Serbia,Slovakia,Slovenia,South Africa,South Sudan,Spain,Sudan,Suriname,Sweden,Syria,Taiwan,Tajikistan,Thailand,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Ukraine,United Arab Emirates,United Kingdom,United States,Uzbekistan,Venezuela,Vietnam,World,Yemen,Yugoslavia,Total
12/31/1900,0,0,0,0,0,0,,0,0,0,,,,0,0,0,0,0,1.41886,,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0.5815,0,0,0,0.02326,1.67472,3.61693,0,0,0,0.02326,1.32582,,,0,,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,,0,0.44194,0,4.03561,0,2.88424,120.27746,0,,,,,,0,,0,0,0,0,,0,0,0,0,,,0,0,98.64566,,0,,234.94926,,0,469.89852
12/31/1901,0,0,0,0,0,0,,0,0,0,,,,0,0,0,0,0,1.17463,,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0.51172,0,0,0,0.03489,2.22133,6.44302,0,0,0,0.02326,1.68635,,,0,,0,,0,0,,0.02326,0,0,0,0,0,,0,0,0,0,,0,0.45357,0,4.71015,0,3.46574,134.48932,0,,,,,,0,,0,0,0,0,,0,0,0,0,,,0,0,107.60076,,0,,262.838,,0,525.676
12/31/1902,0,0,0,0,0,0.01163,,0,0,0,,,,0,0,0,0,0,0.82573,,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0.5815,0,0,0,0.04652,2.51208,3.90768,0,0,0,0.03489,1.82591,,,0,,0,,0,0,,0.05815,0,0,0,0,0,,0,0,0,0,,0,0.37216,0,6.05923,0,3.76812,127.74392,0,,,,,,0,,0,0,0,0,,0,0,0,0,,,0,0,137.64105,,0,,285.38858,,0,570.77715
12/31/1903,0,0,0,0,0,0.01163,,0,0,0,,,,0,0,0,0,0,0.75595,,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0.73269,0,0,0,0.03489,3.89605,9.25748,0,0,0,0.02326,1.46538,,,0,,0,,0,0,,0.1163,0,0,0,0,0,,0,0,0,0,,0,0.43031,0,7.82699,0,4.79156,119.91693,0,,,,,,0,,0,0,0,0,,0,0,0,0,,,0,0,155.78384,,0,,305.04327,,0,610.08653
12/31/1904,0,0,0,0,0,0.01163,,0,0,0,,,,0,0,0,0,0,0.86062,,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,1.0467,0,0,0,0.02326,5.24513,10.44374,0,0,0,0.04652,2.15155,,,0,,0,,0,0,,0.22097,0,0,0,0,0,,0,0,0,0,,0,0.45357,0,9.58312,0,6.17553,124.72012,0,,,,,,0,,0,0,0,0,,0,0,0,0,,,0,0,181.55592,,0,,342.5384,,0,685.07678
12/31/1905,0,0,0,0,0,0.01163,,0,0,0,,,,0,0,0,0,0,0.98855,,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0.91877,0,0,0,0.05815,6.40813,12.59529,0,0,0,0.06978,2.04688,,,0,,0,,0,0,,0.41868,0,0,0,0,0,,0,0,0,0,,0,0.5815,0,9.23422,0,7.93166,86.73654,0,,,,,,0,,0,0,0,0,,0,0,0,0,,,0,0,208.89806,,0,,336.89783,,0,673.79567
12/31/1906,0,0,0,0,0,0.01163,,0,0,0,,,,0,0,0,0,0,0.88388,,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,0.94203,0,0,0,0.03489,6.23368,13.1419,0.01163,0,0,0.08141,2.65164,,,0,,0,,0,0,,0.83736,0,0,0,0,0,,0,0,0,0,,0.01163,0.82573,0,8.57131,0,11.29273,93.87736,0,,,,,,0,,0,0,0,0,,0,0,0,0,,,0,0,196.15158,,0,,335.54877,,0,671.10916
12/31/1907,0,0,0,0,0,0.01163,,0,0,0,,,,0,0,0,0,0,1.22115,,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,1.23278,0,0,0,0.02326,6.73377,16.02614,0,0,0,0.09304,3.11684,,,0,,0,,0,0,,1.79102,0,0,0,0,0,,0,0,0,0,,0,1.163,0,13.09538,0,13.35124,99.48302,0,,,,,,0,,0,0,0,0,,0,0,0,0,,,0,0,257.55798,,0,,414.90024,,0,829.80049
12/31/1908,0,0,0,0.02326,0,0.02326,,0,0,0,,,,0,0,0,0,0,0.8141,,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,1.63983,0,0,0,0.02326,7.82699,16.5146,0,0,0,0.08141,3.20988,,,0,,0,,0,0,,6.5128,0,0,0,0,0,,0,0,0,0,,0,1.46538,0,19.98034,0,13.24657,100.33201,0,,,,,,0,,0,0,0,0,,0,0,0,0,,,0,0,276.8405,,0,,448.5342,,0,897.06839
12/31/1909,0,0,0,0.03489,0,0.02326,,0,0,0,,,,0,0,0,0,0,0.65128,,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,,1.59331,0,0,0,0.03489,10.3507,17.72412,0,0,0,0.06978,3.11684,,,0,,0,,0,0,,4.652,0,0,0,0,0,,0,0,0,0,,0,2.18644,0,24.26018,0,15.77028,106.71688,0,,,,,,0,,0,0,0,0,,0,0.09304,0,0,,,0,0,284.0395,,0,,471.31738,,0,942.63477
