Date,Price
1980-12-31,21.59
1981-12-31,31.77
1982-12-31,28.52
1983-12-31,26.19
1984-12-31,25.88
1985-12-31,24.09
1986-12-31,12.51
1987-12-31,15.4
1988-12-31,12.58
1989-12-31,15.86
1990-12-31,20.03
1991-12-31,16.54
1992-12-31,15.99
1993-12-31,14.25
1994-12-31,13.19
1995-12-31,14.62
1996-12-31,18.46
1997-12-31,17.23
1998-12-31,10.87
1999-12-31,15.56
2000-12-31,26.72
2001-12-31,21.84
2002-12-31,22.51
2003-12-31,27.56
2004-12-31,36.77
2005-12-31,50.28
2006-12-31,59.69
2007-12-31,66.52
2008-12-31,94.04
2009-12-31,56.35
2010-12-31,74.71
2011-12-31,95.73
2012-12-31,94.52
2013-12-31,95.99
2014-12-31,87.39
2015-12-31,44.39
2016-12-31,38.29
2017-12-31,48.05
2018-12-31,61.4
2019-12-31,55.59
2020-12-31,36.86
2021-12-31,65.84
2022-12-31,93.97
